0	0
1	-1.8
2	-3.198
3	-4.25208
4	-5.0129
5	-5.52458
6	-5.82553
7	-5.9491
8	-5.92424
9	-5.77602
10	-5.52611
11	-5.19322
12	-4.79344
13	-4.34062
14	-3.8466
15	-3.3215
16	-2.77394
17	-2.21123
18	-1.63952
19	-1.064
20	-0.488978
21	0.0819501
22	0.645846
23	1.20032
24	1.74344
25	2.2737
26	2.78993
27	3.29126
28	3.77705
29	4.24691
30	4.70058
31	5.13799
32	5.55918
33	5.96428
34	6.35352
35	6.72719
36	7.08564
37	7.42925
38	7.75844
39	8.07365
40	8.37534
41	8.66397
42	8.94003
43	9.20398
44	9.45629
45	9.69744
46	9.92787
47	10.148
48	10.3584
49	10.5593
50	10.7513
51	10.9346
52	11.1097
53	11.277
54	11.4369
55	11.5895
56	11.7354
57	11.8747
58	12.0079
59	12.1351
60	12.2567
61	12.3729
62	12.484
63	12.5901
64	12.6916
65	12.7887
66	12.8815
67	12.9702
68	13.0551
69	13.1363
70	13.214
71	13.2883
72	13.3594
73	13.4275
74	13.4926
75	13.555
76	13.6147
77	13.6718
78	13.7265
79	13.7789
80	13.8291
81	13.8772
82	13.9232
83	13.9673
84	14.0095
85	14.05
86	14.0888
87	14.126
88	14.1616
89	14.1957
90	14.2285
91	14.2598
92	14.2899
93	14.3187
94	14.3463
95	14.3728
96	14.3982
97	14.4226
98	14.446
99	14.4684
100	14.4899
101	14.5105
102	14.5302
103	14.5492
104	14.5674
105	14.5848
106	14.6016
107	14.6176
108	14.633
109	14.6478
110	14.662
111	14.6756
112	14.6886
113	14.7011
114	14.7132
115	14.7247
116	14.7357
117	14.7464
118	14.7565
119	14.7663
120	14.7757
121	14.7847
122	14.7933
123	14.8016
124	14.8096
125	14.8172
126	14.8246
127	14.8316
128	14.8383
129	14.8448
130	14.851
131	14.857
132	14.8627
133	14.8682
134	14.8735
135	14.8786
136	14.8835
137	14.8881
138	14.8926
139	14.8969
140	14.901
141	14.905
142	14.9088
143	14.9125
144	14.916
145	14.9193
146	14.9226
147	14.9257
148	14.9286
149	14.9315
150	14.9342
151	14.9369
152	14.9394
153	14.9418
154	14.9441
155	14.9464
156	14.9485
157	14.9506
158	14.9526
159	14.9545
160	14.9563
161	14.958
162	14.9597
163	14.9613
164	14.9629
165	14.9644
166	14.9658
170	14.9709
180	14.9807
190	14.9872
200	14.9915
210	14.9943
220	14.9962
230	14.9975
240	14.9983
250	14.9989
260	14.9993
270	14.9995
280	14.9997
290	14.9998
300	14.9999
310	14.9999
320	14.9999
330	15
340	15
350	15
